#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
b_nin_aeluin;Nîn-i-Aeluin;Nîn-i-Aeluin;;;;x
b_minas_aeluin;Minas Aeluin;Minas Aeluin;;;;x
b_ostluin;Ostluin;Ostluin;;;;x
b_minas_ladros;Minas Ladros;Minas Ladros;;;;x
b_baradros;Baradros;Baradros;;;;x
b_ostdrun;Drûnost;Drûnost;;;;x
b_aglon;Aglon;Aglon;;;;x
b_minas_maedhros;Minas Maedhros;Minas Maedhros;;;;x
b_minas_russandol;Minas Russandol;Minas Russandol;;;;x
b_garth_nelyo;Garth Nelyo;Garth Nelyo;;;;x
b_baradlon;Baradlon;Baradlon;;;;x
b_ost_in_aglon;Ost-in-Aglon;Ost-in-Aglon;;;;x
b_niben_gelion;Niben Gelion;Niben Gelion;;;;x
b_haranelyo;Haranelyo;Haranelyo;;;;x
b_caraniben;Caraniben;Caraniben;;;;x
b_tirmaedhros;Tir-Maedhros;Tir-Maedhros;;;;x
b_tirith_noldor;Tirith Noldorim;Tirith Noldorim;;;;x
b_ost_i_pada;Ost-i-Pada;Ost-i-Pada;;;;x
b_padadun;Padadûn;Padadûn;;;;x
b_minastor;Minastor;Minastor;;;;x
b_ostiriel;Ostiriel;Ostiriel;;;;x
b_pinnath_himring;Pinnath Himring;Pinnath Himring;;;;x
b_garth_himring;Garth Himring;Garth Himring;;;;x
b_cararing;Cararing;Cararing;;;;x
b_minas_maglor;Minas Maglor;Minas Maglor;;;;x
b_dingarth;Dîngarth;Dîngarth;;;;x
b_gobelaure;Gobelaurë;Gobelaurë;;;;x
b_ost_gandel;Ost-Gandel;Ost-Gandel;;;;x
b_minas_minlamad;Minas Minlamad;Minas Minlamad;;;;x
b_minas_lammen;Minas Lammen;Minas Lammen;;;;x
b_thond_rerir;Thond Rerir;Thond Rerir;;;;x
b_garth_rerir;Garth Rerir;Garth Rerir;;;;x
b_caras_rerir;Caras Rerir;Caras Rerir;;;;x
b_tharb_gelion;Tharb Gelion;Tharb Gelion;;;;x
b_ost_i_govad;Ost-i-Govad;Ost-i-Govad;;;;x
b_minas_govad;Minas Govad;Minas Govad;;;;x
b_garth_helevorn;Garth Helevorn;Garth Helevorn;;;;x
b_helevorn;Helevorn;Helevorn;;;;x
b_tarn_helevorn;Tarn Helevorn;Tarn Helevorn;;;;x
b_dol_caranthir;Dol Caranthir;Dol Caranthir;;;;x
b_othrondir;Othrondir;Othrondir;;;;x
b_gobel_caranthir;Gobel Caranthir;Gobel Caranthir;;;;x
b_minas_carnistir;Minas Carnistir;Minas Carnistir;;;;x
b_morigelion;Morigelion;Morigelion;;;;x
b_dolmori;Dolmori;Dolmori;;;;x
b_dormoriand;Dormoriand;Dormoriand;;;;x
b_morigarth;Morigarth;Morigarth;;;;x
b_gobelmori;Gobelmori;Gobelmori;;;;x
b_minas_rhunen;Minas Rhúnen;Minas Rhúnen;;;;x
b_dor_ascar;Dol Ascar;Dol Ascar;;;;x
b_ost_i_rhunen;Ost-i-Rhúnen;Ost-i-Rhúnen;;;;x
b_anglennaug;Anglennaug;Anglennaug;;;;x
b_barad_naugrim;Barad Naugrim;Barad Naugrim;;;;x
b_gobel_naugrim;Ost-i-Mellyn-Naugrim;Ost-i-Mellyn-Naugrim;;;;x
b_gladuial;Gladuial;Gladuial;;;;x
b_minas_elmoth;Minas Elmoth;Minas Elmoth;;;;x
b_gobel_eol;Gobel Eöl;Gobel Eöl;;;;x
b_minas_orchad;Minas Orchad;Minas Orchad;;;;x
b_dor_estol;Dor Estol;Dor Estol;;;;x
b_echad_amrod;Echad Amrod;Echad Amrod;;;;x
b_meneliand;Meneliand;Meneliand;;;;x
b_barad_menel;Barad Menel;Barad Menel;;;;x
b_menelcara;Menelcara;Menelcara;;;;x
b_odhelliand;Odhelliand;Odhelliand;;;;x
b_minas_odhel;Minas Odhel;Minas Odhel;;;;x
b_odhellost;Odhellost;Odhellost;;;;x
b_rhuven_estolad;Rhuven Estolad;Rhuven Estolad;;;;x
b_bargelion;Bargelion;Bargelion;;;;x
b_minas_gwelin;Minas Gwelin;Minas Gwelin;;;;x
b_amrasost;Amrasost;Amrasost;;;;x
b_echad_gwelin;Echad Gwelin;Echad Gwelin;;;;x
b_minas_amras;Minas Amras;Minas Amras;;;;x
b_taurain_angol;Taurain Angol;Taurain Angol;;;;x
b_minas_angol;Minas Angol;Minas Angol;;;;x
b_echadang;Echadang;Echadang;;;;x
b_minas_himlad;Minas Himlad;Minas Himlad;;;;x
b_minas_curufin;Minas Curufin;Minas Curufin;;;;x
b_atarincost;Atarincost;Atarincost;;;;x
b_aros_fords;Aros-Fords;Aros-Fords;;;;x
b_minaross;Minaross;Minaross;;;;x
b_siachost;Siachost;Siachost;;;;x
b_celoniand;Celoniand;Celoniand;;;;x
b_barad_celon;Barad Celon;Barad Celon;;;;x
b_nin_i_celon;Nîn-i-Celon;Nîn-i-Celon;;;;x
c_eithel_sirion;Eithel Sirion;Eithel Sirion;;;;x
b_barad_eithel;Barad Eithel;Barad Eithel;;;;x
b_lorindol;Lorindol;Lorindol;;;;x
b_fen_of_serech;Nîn-i-Serech;Nîn-i-Serech;;;;x
b_barad_serech;Barad Serech;Barad Serech;;;;x
b_ostitir;Ostitir;Ostitir;;;;x
b_minas_tirith;Minas Tirith;Minas Tirith;;;;x
b_tol_sirion;Tol Sirion;Tol Sirion;;;;x
