#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITsauron.21;Command the Nazgûl;Commander les Nazgûl;;;;;;;;;;;;x
EVTDESCsauron.27;Khamûl has returned, bringing word that the Wainriders have been convinced to take up arms. They need time to prepare their army, but they will soon descend on your targets and conquer Sauron.;Khamûl  a annoncé avoir convaincu les Wainriders de prendre les armes. Le temps de rassembler leur armée, et ils déferleront sur le Calenardhon pour conquérir en votre nom.;;;;;;;;;;;;x
EVTOPTAsauron.27;Perfect.;Parfait.;;;;;;;;;;;;x
EVTTITsauron.28;Invasion of the Balchoths!;Invasion des Balchoths !;;;;;;;;;;;;x
EVTDESCsauron.28;There are rumors of an invasion from the East, Evil Men wish to seize the rich lands of Dorwinion, Rhovanion and Rhûn. No doubt these Balchoths, as they call themselves, answered the call of a darker will...;Des rumeurs font état d'une invasion d'hommes venant de l'Est, et qui souhaitent s'emparer des riches terres du Dorwinion, du Rhovanion et de Rhûn. Nul doute que ces Balchoths, comme il se font appeler, répondent à une volonté ténébreuse...;;;;;;;;;;;;x
EVTOPTAsauron.28;I hope they find victory!;J'espère qu'ils gagneront!;;;;;;;;;;;;x
EVTOPTBsauron.28;Woe!;Malédiction!;;;;;;;;;;;;x
EVTTITsauron.29;Invasion of the Wainriders!;Invasion des Wainriders !;;;;;;;;;;;;x
EVTDESCsauron.29;There are rumors of an invasion from the East, Evil Men wish to seize the rich lands of Calenardhon, Anorien and the Brownlands. No doubt these Wainriders, as they call themselves, answered the call of a darker will...;Des rumeurs font état d'une invasion d'hommes venant de l'Est, et qui souhaitent s'emparer des riches terres du Calenardhon, de l'Anorien et des Terres Brunes. Nul doute que ces Wainriders, comme il se font appeler, répondent à une volonté ténébreuse...;;;;;;;;;;;;x
EVTOPTAsauron.29;I hope they find victory!;J'espère qu'ils gagneront!;;;;;;;;;;;;x
EVTOPTBsauron.29;Woe!;Malédiction!;;;;;;;;;;;;x
EVTTITsauron.30;A new Nazgûl in Angmar;Un nouveau Nazgûl en Angmar;;;;;;;;;;;;x
EVTDESCsauron.30;Your master Sauron is sending you to Angmar, to assist the Witch-king in his Dark Work. You will be his Lieutenant, and your presence will inspire fear in both your own forces and your enemies.;Votre maitre Sauron vous envoie en Angmar, pour seconder le Roi-Sorcier dans ses noirs travaux. Vous serez le Lieutenant d'Angmar, et votre présence inspirera la peur à vos ennemis.;;;;;;;;;;;;x
EVTOPTAsauron.30;Yes, my Lord.;Oui, Seigneur.;;;;;;;;;;;;x
EVTTITsauron.31;A new Nazgûl in Angmar;Un nouveau Nazgûl en Angmar;;;;;;;;;;;;x
EVTDESCsauron.31;Your master Sauron is watching you, and has decided to send reinforcements. Another Nazgûl arrives in Angmar, with orders to assist you in your work. With his presence, you may hasten your victory...;Votre maitre Sauron vous surveille, et a décidé de vous envoyer des renforts. Un Nazgûl arrive en Angmar, avec l'ordre de vous seconder dans vos travaux. Grâce à sa présence, vous gagnerez certainement plus rapidement votre guerre...;;;;;;;;;;;;x
EVTOPTAsauron.31;I will defeat the Dunedain for you, my Lord.;Je battrais les Dunedains en votre nom, Seigneur Sauron.;;;;;;;;;;;;x
EVTTITsauron.32;Akhôrahil, Adûnaphazôr and Abrazîr;Akhôrahil, Adûnaphazôr et Abrazîr;;;;;;;;;;;;x
EVTDESCsauron.32;The three Nazgûl you sent for have arrived, ready to serve you. What will you command of them? To lead an invasion to regain the lands of Mordor? Or to join the Witch-king of Angmar, if he remains undefeated?;Les Trois Nazgûl se présentent devant vous, leurs épée prêtes à vous servir. Qu'allez-vous leur demander? De diriger des armées pour tenter de reprendre les terres du Mordor? Ou de rejoindre le Roi-Sorcier s'il est toujours en Angmar?;;;;;;;;;;;;x
EVTOPTAsauron.32;You will invade and reconquer the Black Land.;Vous vous battrez pour reconquérir mes terres en Mordor.;;;;;;;;;;;;x
EVTOPTCsauron.32;You will join the Witch-King in Angmar.;Vous rejoindez le Roi-Sorcier en Angmar.;;;;;;;;;;;;x
EVTOPTDsauron.32;The situation has changed, wait for orders.;Vous attendrez encore.;;;;;;;;;;;;x
EVTTITsauron.33;The Reconquest of Mordor;La Reconquête du Mordor;;;;;;;;;;;;x
EVTDESCsauron.33;You have instructed the Nazgûl to command your armies in a re-invasion of Mordor. Their targets are the ruins of Barad-Dur, Mount Doom, and the fertile plains of Nurn.;Vous avez ordonné à vos Nazgûl de commander vos armées, afin de reprendre le contrôle du Mordor. Leurs cibles sont le site de Barad-Dur, la Montagne du Destin, et les riches terres de Nurn.;;;;;;;;;;;;x
EVTOPTAsauron.33;It is time to fight.;Il est temps de se battre.;;;;;;;;;;;;x
EVTTITsauron.34;Mordor;Le Mordor;;;;;;;;;;;;x
EVTDESCsauron.34;You have regained the lands of Mordor, Barad-Dûr and Mount Doom are yours once more. Will you once again take the title Lord of Mordor?;Vous avez reconquis vos terres à Barad-Dur et à la Montagne du Destin. Allez-vous reprendre le titre de Seigneur du Mordor?;;;;;;;;;;;;x
EVTOPTAsauron.34;Yes, at long last.;Oui, bien sur.;;;;;;;;;;;;x
EVTOPTBsauron.34;No, it is not yet time.;Non, ce n'est pas mon heure.;;;;;;;;;;;;x
EVTTITsauron.35;Sauron or the Necromancer?;Sauron ou le Nécromancien?;;;;;;;;;;;;x
EVTDESCsauron.35;As you have now returned to your mighty fortress of Barad-dûr, it is perhaps time to reveal your true identity to the world, and again take the name Sauron.;Comme vous avez retrouvé votre puissante forteresse de Dol Guldur, allez-vous maintenant vous révéler aux yeux du monde, et reprendre votre nom de Sauron?;;;;;;;;;;;;x
EVTOPTAsauron.35;I am Sauron the Great!;Je suis Sauron le Grand!;;;;;;;;;;;;x
EVTOPTBsauron.35;No, it is not yet time.;Non, ce n'est pas mon heure.;;;;;;;;;;;;x
EVTTITsauron.36;The Return of Sauron;Le Retour de Sauron;;;;;;;;;;;;x
EVTDESCsauron.36;For some time a dark power has been residing in the ruins of Dol Guldur, known to all as the Necromancer. The worst fears of all free folk have come true, and this dark spirit has revealed itself to be none other than the Dark Lord Sauron. The Red-Eye has returned once more to the tower of Barad-dûr in the Black Land of Mordor...;Depuis quelques temps, une ombre vivait dans les ruines de Dol Guldur, appelée le Nécromancien. Celle-ci a enfin révélée sa terrible identité, en reprenant place dans sa forteresse. Il s'agissait bien de Sauron le Grand, le Seigneur Noir, et son retour n'annonce rien de bon pour les Peuples Libres...;;;;;;;;;;;;x
EVTOPTAsauron.36;Welcome back, Dark Lord!;Heureux de votre Retour, Monseigneur.;;;;;;;;;;;;x
EVTOPTBsauron.36;Woe!;Malédiction!;;;;;;;;;;;;x
EVTTITsauron.37;Ji-Undur, Dwar, Ûvatha and Ren;Ji-Undur, Dwar, Û et Ren;;;;;;;;;;;;x
EVTDESCsauron.37;The four Nazgûl await your command. Will you ask Ji-Undur and Dwar to gather the Orcs of Gundabad, and lead them in an invasion of the realms of the Misty Mountains? Or will you ask Ren and Ûvatha to assemble the tribes of Dunland in invasion of the abandoned lands of Eregion?;Vous pouvez commander vos quatre Nazgûl. Allez-vous demander à Ji-Undur et Dwar de rassembler les orques de Gundabad pour prendre les Monts Brumeux? Ou allez-vous demander à Ren et Û d'assembler les tribus de Dun pour envahir les terres abandonnées d'Eregion?;;;;;;;;;;;;x
EVTOPTAsauron.37;Ji-Undur and Dwar shall go to Gundabad!;Ji-Undur et Dwar, vous irez à Gundabad !;;;;;;;;;;;;x
EVTOPTBsauron.37;Ren and Ûvatha shall go to Dunland!;Ren et Û, allez en Pays-de-Dun!;;;;;;;;;;;;x
EVTOPTCsauron.37;The situation has changed, wait for orders.;Vous devrez encore attendre.;;;;;;;;;;;;x
EVTTITsauron.38;An Order from Dol Guldur;Un Ordre de Dol Guldur;;;;;;;;;;;;x
EVTDESCsauron.38;You receive a visit from two spectres who bring orders from the Master in Dol Guldur. The Necromancer commands you to invade and populate the Misty Mountains, rooting out Dwarves who have settled there.;Vous recevez la visite de deux spectres, qui vous apportent des ordres en provenance de Dol Guldur. Le Nécromancien vous demande de peupler les Monts Brumeux, et de chasser les nains qui s'y sont installés.;;;;;;;;;;;;x
EVTOPTAsauron.38;I will appoint a general for this war.;Je vais nommer un général pour cette guerre.;;;;;;;;;;;;x
EVTOPTBsauron.38;I will lead my armies!;Je commanderais moi-même !;;;;;;;;;;;;x
EVTOPTCsauron.38;No one can send me orders!;Personne ne me donne d'ordres!;;;;;;;;;;;;x
EVTTITsauron.39;The Misty Mountains;Les Monts Brumeux;;;;;;;;;;;;x
EVTDESCsauron.39;You've gathered your forces, following the Master's orders from Dol Guldur. You are now ready to descend into the Misty Mountains, and root out the Dwarf scum.;Vous avez rassemblé vos forces, suivant les ordres émanant de Dol Guldur. Vous êtes maintenant prêt à descendre dans les Monts Brumeux, et à y installer votre domination.;;;;;;;;;;;;x
EVTOPTAsauron.39;These mountains are ours!;Ces Montagnes sont à moi !;;;;;;;;;;;;x
EVTTITsauron.40;An Order from Dol Guldur;Un Ordre de Dol Guldur;;;;;;;;;;;;x
EVTDESCsauron.40;You receive a visit from two spectres who bring orders from the Master in Dol Guldur. The Necromancer commands you to populate the lands of Eregion and kill all the Elves who have settled there.;Vous recevez la visite de deux spectres, qui vous apportent des ordres en provenance de Dol Guldur. Le Nécromancien vous demande de peupler les Monts Brumeux, et de chasser les nains qui s'y sont installés.;;;;;;;;;;;;x
EVTOPTAsauron.40;I will lead my armies!;Je commanderais moi-même !;;;;;;;;;;;;x
EVTOPTBsauron.40;No one can send me orders!;Personne ne me donne d'ordres!;;;;;;;;;;;;x
EVTTITsauron.41;Eregion;L'Eregion;;;;;;;;;;;;x
EVTDESCsauron.41;You have gathered your forces, according to the Master's orders from Dol Guldur. You are now ready to invade Eregion, and root out the Elf scum.;Vous avez rassemblé vos forces, suivant les ordres émanant de Dol Guldur. Vous êtes maintenant prêt à envahir l'Eregion, et à y installer votre domination.;;;;;;;;;;;;x
EVTOPTAsauron.41;New lands for my clan!;De nouvelles terres pour mon Peuple!;;;;;;;;;;;;x
command_Nazgûl;Command the Nazgûl;Commander les Nazgûl;;;;;;;;;;;;x
